name_guess,number_guess,img_url,profile_url
Julien Beaumer,10,https://rxi.iscdn.net/2023/12/279665_566278teamshootrbktmsxmx2024teamshootingrbktmsxmx2024-remov.png?auto=format&q=90&w=3000&h=2000&fit=crop&crop=faces,https://racerxonline.com/rider/julien-beaumer
Justin Barcia,10,https://rxi.iscdn.net/2024/12/298624_justinbarcia-rockstarenergygasgasfactoryracing202504-remove.png?auto=format&q=90&w=3000&h=2000&fit=crop&crop=faces,https://racerxonline.com/rider/justin-barcia
Justin Cooper,10,https://rxi.iscdn.net/2022/12/260078_cooper_2023_yamaha_octopi_lm_0307-removebg-preview.png?auto=format&q=90&w=3000&h=2000&fit=crop&crop=faces,https://racerxonline.com/rider/justin-cooper
Justin Hill,10,https://rxi.iscdn.net/2022/12/259935_sx23_justin_hill_smile_691x691px-removebg-preview.png?auto=format&q=90&w=3000&h=2000&fit=crop&crop=faces,https://racerxonline.com/rider/justin-hill
Justin Rodbell,10,https://rxi.iscdn.net/2021/01/217619_wfo_8408c-removebg-preview.png?auto=format&q=90&w=3000&h=2000&fit=crop&crop=faces,https://racerxonline.com/rider/justin-rodbell
Justin Starling,10,https://rxi.iscdn.net/2019/12/194288_screen_shot_2019-12-20_at_1-removebg-preview_1_copy.png?auto=format&q=90&w=3000&h=2000&fit=crop&crop=faces,https://racerxonline.com/rider/justin-starling
Kade Johnson,10,https://rxi.iscdn.net/2025/09/314811_screenshot2025-09-15at122723pm-removebg-preview.png?auto=format&q=90&w=3000&h=2000&fit=crop&crop=faces,https://racerxonline.com/rider/kade-johnson
Ken Roczen,10,https://rxi.iscdn.net/2022/12/260123_sx23_ken_roczen_smile_691x691px.jpg?auto=format&q=90&w=3000&h=2000&fit=crop&crop=faces,https://racerxonline.com/rider/ken-roczen
Kevin Moranz,10,https://rxi.iscdn.net/2024/01/281519_img47831cc-removebg-preview.png?auto=format&q=90&w=3000&h=2000&fit=crop&crop=faces,https://racerxonline.com/rider/kevin-moranz
Klark Robbins,10,https://rxi.iscdn.net/2025/04/305931_screenshot2025-04-29at12407pm-removebg-preview.png?auto=format&q=90&w=3000&h=2000&fit=crop&crop=faces,https://racerxonline.com/rider/klark-robbins
Krystian Janik,10,https://rxi.iscdn.net/2023/08/273077_screenshot2023-08-04at62414pm-removebg-preview.png?auto=format&q=90&w=3000&h=2000&fit=crop&crop=faces,https://racerxonline.com/rider/krystian-janik
Kyle Chisholm,10,https://rxi.iscdn.net/2022/12/260252_kyle-chisholm-headshot-screen_shot_2022-12-22_at_12439_pm-removebg-preview.png?auto=format&q=90&w=3000&h=2000&fit=crop&crop=faces,https://racerxonline.com/rider/kyle-p-chisholm
Lance Kobusch,10,https://rxi.iscdn.net/2022/07/252808_screen_shot_2022-07-16_at_1_05_43_pm-removebg-preview.png?auto=format&q=90&w=3000&h=2000&fit=crop&crop=faces,https://racerxonline.com/rider/lance-kobusch
Landen Gordon,10,https://rxi.iscdn.net/2024/01/281585_screenshot2024-01-28at10601am-removebg-preview.png?auto=format&q=90&w=3000&h=2000&fit=crop&crop=faces,https://racerxonline.com/rider/landen-gordon
Landon Gibson,10,https://rxi.iscdn.net/2024/04/285658_futuresalignmediasx24stlouis400-2-removebg-preview-1.png?auto=format&q=90&w=3000&h=2000&fit=crop&crop=faces,https://racerxonline.com/rider/landon-gibson
Landon Hartz,10,https://rxi.iscdn.net/i/logos/post_thumb.png?auto=format&q=90&w=3000&h=2000&fit=crop&crop=faces,https://racerxonline.com/rider/landon-hartz
Lane Shaw,10,https://rxi.iscdn.net/2018/03/161225_screen_shot_2018-03-26_at_11_51_25_am.png?auto=format&q=90&w=3000&h=2000&fit=crop&crop=faces,https://racerxonline.com/rider/lane-shaw
Leum Oehlhof,10,https://rxi.iscdn.net/i/logos/post_thumb.png?auto=format&q=90&w=3000&h=2000&fit=crop&crop=faces,https://racerxonline.com/rider/leum-oehlhof
Levi Kitchen,10,https://rxi.iscdn.net/2025/01/299270_kitchen2025kawasakiteam-shootsxoctopirsp2395nef1-removebg-p.png?auto=format&q=90&w=3000&h=2000&fit=crop&crop=faces,https://racerxonline.com/rider/levi-kitchen
Logan Leitzel,10,https://rxi.iscdn.net/2025/06/308921_img6097-2-removebg-preview.png?auto=format&q=90&w=3000&h=2000&fit=crop&crop=faces,https://racerxonline.com/rider/logan-leitzel
Logan Riggins,10,https://rxi.iscdn.net/i/logos/post_thumb.png?auto=format&q=90&w=3000&h=2000&fit=crop&crop=faces,https://racerxonline.com/rider/logan-riggins
Lorenzo Locurcio,10,https://rxi.iscdn.net/2017/02/139304_screen_shot_2017-02-19_at_11_10_55_am.png?auto=format&q=90&w=3000&h=2000&fit=crop&crop=faces,https://racerxonline.com/rider/lorenzo-locurcio
Luke Fauser,10,https://rxi.iscdn.net/2024/04/286221_futuresalignmediasx24foxborough336-2-removebg-preview.png?auto=format&q=90&w=3000&h=2000&fit=crop&crop=faces,https://racerxonline.com/rider/luke-fauser
Luke Neese,10,https://rxi.iscdn.net/2021/11/235832_screen_shot_2021-11-01_at_3_08_24_pm-removebg-preview.png?auto=format&q=90&w=3000&h=2000&fit=crop&crop=faces,https://racerxonline.com/rider/luke-neese
Lux Turner,10,https://rxi.iscdn.net/2024/01/280678_screenshot2024-01-08at114436am-removebg-preview.png?auto=format&q=90&w=3000&h=2000&fit=crop&crop=faces,https://racerxonline.com/rider/lux-turner
Malcolm Stewart,10,https://rxi.iscdn.net/2023/12/279101_headshotsdec2023-cudbyphoto-021-removebg-preview.png?auto=format&q=90&w=3000&h=2000&fit=crop&crop=faces,https://racerxonline.com/rider/malcolm-stewart
